"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","spi","DE"
"SL1344_2870",-6.37047310565618,8.73980135098953,280.677291045355,2.04811509714479e-07,5.07791294774863e-06,"spaO","SPI-1","Attenuated"
"SL1344_3405",2.57685423310071,9.99067153614538,271.600768799385,2.06374140598444e-07,5.08741738595249e-06,"rplW",NA,"Amplified"
"SL1344_2115",3.57030884611059,7.77459335712741,270.958410043113,2.08268681406232e-07,5.10494938401411e-06,"STM2139",NA,"Amplified"
"SL1344_0582",4.08163136251762,6.1687283028873,268.90974719287,2.14458253685671e-07,5.22696557288127e-06,"fepB","-","Amplified"
"SL1344_4201",3.51892808042373,6.95562864725981,268.224979875302,2.16578377158972e-07,5.2489838149652e-06,"soxS","-","Amplified"
"SL1344_1114",-4.11996240864291,8.87619093579885,266.129941853862,2.2322998996024e-07,5.37996746753337e-06,"flgE","-","Attenuated"
"SL1344_2256",3.93336452375982,9.48686496696693,264.917249267901,2.27197282833056e-07,5.44516154523224e-06,"sseL","-","Amplified"
"SL1344_4342",2.40199916073563,8.98863321816898,264.447426121525,2.28758009086451e-07,5.45227652596105e-06,"ytfM","-","Amplified"
"SL1344_1879",-3.01865762175375,7.11648929163283,263.939925084249,2.30459016906339e-07,5.46263845568102e-06,"sdiA","-","Attenuated"
"SLP1_0061",3.09445870553899,11.2849327009804,262.320480821179,2.35993969708627e-07,5.56326767936075e-06,"PSLT046",NA,"Amplified"
"SL1344_2873",-6.60110179614122,10.0164208176409,269.756259988675,2.38333041317314e-07,5.58787358827659e-06,"invC","SPI-1","Attenuated"
"SL1344_2379",-3.46188116618306,7.45975646459441,260.812705976563,2.41297720413075e-07,5.62680197763247e-06,"yfeC","-","Attenuated"
"SL1344_0109A",-3.08318360797753,8.3212023714266,258.779727201793,2.48687575749701e-07,5.76794732142048e-06,"sgrT",NA,"Attenuated"
"SL1344_1556",-5.02015527761933,8.82713284849408,257.778600600705,2.52430821949636e-07,5.81228099021014e-06,"trg","-","Attenuated"
"SL1344_1906",-2.21954828246454,7.33441493337792,257.550472204559,2.53293654649862e-07,5.81228099021014e-06,"fliN","-","Attenuated"
"SL1344_1469",2.86936231388287,7.23908957653048,256.606257578487,2.56904418098815e-07,5.8639452893031e-06,"STM1540",NA,"Amplified"
"SL1344_2362",-2.40429677673289,6.67266111760398,255.65988848693,2.60588346076624e-07,5.91672697355029e-06,"yfdC","-","Attenuated"
"SL1344_2488",-2.3609394787044,9.24994707255482,254.421379827695,2.65510027807713e-07,5.96926728118658e-06,"ndk","-","Attenuated"
"SL1344_1874",2.62083149313033,7.97897118234509,254.359327766489,2.65759665029055e-07,5.96926728118658e-06,"STM1941",NA,"Amplified"
"SL1344_2012",-3.48976138031164,6.505319368345,254.038898425866,2.67053450456423e-07,5.96926728118658e-06,"pocR","-","Attenuated"
"SL1344_1239",-3.78072493326309,6.43062920521575,252.624326033943,2.72860212232242e-07,6.06762348231902e-06,"astA","-","Attenuated"
"SL1344_1188",2.69740691068073,7.35338808409524,250.561437820748,2.81614754266689e-07,6.20596192076606e-06,"STM1252",NA,"Amplified"
"SL1344_3303",3.06085447345387,7.76985542819012,250.48210575407,2.81958399738096e-07,6.20596192076606e-06,"gltD","-","Amplified"
"SL1344_4214",-3.23128034587352,4.80853669333761,250.146035117477,2.83420007339218e-07,6.20646655665678e-06,"nrfB","-","Attenuated"
